Date,ADA-USD,ATOM-USD,AVAX-USD,AXS-USD,BTC-USD,ETH-USD,LINK-USD,LUNA1-USD,MATIC-USD,SOL-USD
2019-05-21,0.08644299954175949,4.805141925811768,,,8062.16796875,262.1075439453125,1.2314889430999756,,0.045017000287771225,
2019-05-22,0.08545999974012375,4.800742149353027,,,7997.6123046875,258.8018493652344,1.466101050376892,,0.03161200135946274,
2019-05-23,0.0806950032711029,4.372057914733887,,,7943.79150390625,247.61663818359375,1.3632559776306152,,0.03381099924445152,
2019-05-24,0.0833749994635582,4.767506122589111,,,8140.7197265625,255.25933837890625,1.423656940460205,,0.028596000745892525,
2019-05-25,0.0825589969754219,4.605970859527588,,,8117.92578125,257.3568420410156,1.3394980430603027,,0.028342999517917633,
2019-05-26,0.08693599700927734,4.54576301574707,,,8687.5205078125,269.1665344238281,1.1826410293579102,,0.0273049995303154,
2019-05-27,0.09347599744796753,4.709647178649902,,,8907.1748046875,278.50726318359375,1.266767978668213,,0.02490600012242794,
2019-05-28,0.09324800223112106,4.81615686416626,,,8807.0166015625,274.3208312988281,1.3341410160064697,,0.025102000683546066,
2019-05-29,0.09376899898052216,4.812482833862305,,,8755.8525390625,273.75628662109375,1.2750259637832642,,0.024821000173687935,
2019-05-30,0.09676799923181534,6.536581993103027,,,9008.314453125,287.2016296386719,1.221426010131836,,0.02327599935233593,
2019-05-31,0.0899370014667511,5.948746204376221,,,8586.6591796875,268.6599426269531,1.0524259805679321,,0.022962000221014023,
2019-06-01,0.09281499683856964,6.300857067108154,,,8625.6005859375,273.5579833984375,1.0524410009384155,,0.022874999791383743,
2019-06-02,0.09751900285482407,6.360077857971191,,,8809.3037109375,272.8072204589844,1.0441440343856812,,0.02219199948012829,
2019-06-03,0.09834200143814087,7.2523908615112305,,,8743.5,270.3341064453125,1.0127149820327759,,0.020952999591827393,
2019-06-04,0.08844699710607529,6.842354774475098,,,8210.9853515625,252.5116424560547,0.9316250085830688,,0.02184000052511692,
2019-06-05,0.08511699736118317,6.294137954711914,,,7901.84912109375,248.1381378173828,1.0771180391311646,,0.023483000695705414,
2019-06-06,0.08397900313138962,6.182961940765381,,,7937.3408203125,249.9445037841797,1.2388319969177246,,0.025107000023126602,
2019-06-07,0.08767200261354446,6.5824809074401855,,,8126.1533203125,254.352294921875,1.239385962486267,,0.024917999282479286,
2019-06-08,0.08659400045871735,6.348464012145996,,,8076.89111328125,252.3773956298828,1.1994179487228394,,0.026590999215841293,
