Date,ADA-USD,ATOM-USD,AVAX-USD,AXS-USD,BTC-USD,ETH-USD,LINK-USD,LUNA1-USD,MATIC-USD,SOL-USD
2017-09-04,,,,,2987330048,,,,,
2017-09-05,,,,,2697969920,,,,,
2017-09-06,,,,,2172100096,,,,,
2017-09-07,,,,,1844620032,,,,,
2017-09-08,,,,,2700890112,,,,,
2017-09-09,,,,,1386230016,,,,,
2017-09-10,,,,,1679090048,,,,,
2017-09-11,,,,,1557330048,,,,,
2017-09-12,,,,,1864530048,,,,,
2017-09-13,,,,,2219409920,,,,,
2017-09-14,,,,,2716310016,,,,,
2017-09-15,,,,,4148069888,,,,,
2017-09-16,,,,,1818400000,,,,,
2017-09-17,,,,,1239149952,,,,,
2017-09-18,,,,,1943209984,,,,,
2017-09-19,,,,,1563980032,,,,,
2017-09-20,,,,,1213830016,,,,,
2017-09-21,,,,,1411480064,,,,,
2017-09-22,,,,,1194829952,,,,,
2017-09-23,,,,,928113984,,,,,
2017-09-24,,,,,768014976,,,,,
2017-09-25,,,,,1374210048,,,,,
2017-09-26,,,,,1043740032,,,,,
2017-09-27,,,,,1686880000,,,,,
2017-09-28,,,,,1712320000,,,,,
2017-09-29,,,,,1367049984,,,,,
2017-09-30,,,,,1207449984,,,,,
2017-10-01,,,,,1208210048,,,,,
2017-10-02,,,,,1431730048,,,,,
2017-10-03,,,,,1288019968,,,,,
2017-10-04,,,,,1116770048,,,,,
2017-10-05,,,,,1161769984,,,,,
2017-10-06,,,,,1069939968,,,,,
2017-10-07,,,,,906928000,,,,,
2017-10-08,,,,,1313869952,,,,,
2017-10-09,,,,,1968739968,,,,,
2017-10-10,,,,,1597139968,,,,,
2017-10-11,,,,,1222279936,,,,,
2017-10-12,,,,,2791610112,,,,,
2017-10-13,,,,,3615480064,,,,,
2017-10-14,,,,,1669030016,,,,,
2017-10-15,,,,,1976039936,,,,,
2017-10-16,,,,,2008070016,,,,,
2017-10-17,,,,,1821570048,,,,,
2017-10-18,,,,,2399269888,,,,,
2017-10-19,,,,,1780540032,,,,,
2017-10-20,,,,,2354429952,,,,,
2017-10-21,,,,,2207099904,,,,,
2017-10-22,,,,,2034630016,,,,,
2017-10-23,,,,,2401840128,,,,,
2017-10-24,,,,,2735699968,,,,,
2017-10-25,,,,,1966989952,,,,,
2017-10-26,,,,,1905040000,,,,,
2017-10-27,,,,,1710130048,,,,,
2017-10-28,,,,,1403920000,,,,,
2017-10-29,,,,,2859040000,,,,,
2017-10-30,,,,,1772150016,,,,,
2017-10-31,,,,,2311379968,,,,,
2017-11-01,,,,,2870320128,,,,,
2017-11-02,,,,,4653770240,,,,,
2017-11-03,,,,,3369860096,,,,,
2017-11-04,,,,,2483800064,,,,,
2017-11-05,,,,,2380410112,,,,,
2017-11-06,,,,,3111899904,,,,,
2017-11-07,,,,,2326340096,,,,,
2017-11-08,,,,,4602200064,,,,,
2017-11-09,18716200.0,,,,3226249984,893249984.0,3347920.0,,,
2017-11-10,6766780.0,,,,5208249856,885985984.0,2125460.0,,,
2017-11-11,5532220.0,,,,4908680192,842300992.0,2238980.0,,,
2017-11-12,7280250.0,,,,8957349888,1613479936.0,5455200.0,,,
2017-11-13,4419440.0,,,,6263249920,1041889984.0,2992650.0,,,
2017-11-14,3033290.0,,,,3197110016,1069680000.0,2203410.0,,,
2017-11-15,6858800.0,,,,4200880128,722665984.0,1689780.0,,,
2017-11-16,4888130.0,,,,5123809792,797254016.0,1766160.0,,,
2017-11-17,3578870.0,,,,4651670016,621732992.0,2547360.0,,,
2017-11-18,2930550.0,,,,3667190016,649638976.0,1948470.0,,,
